CAS Number,Chemical Name,Chemical Analysis,Test Method,Exposure Type,Media Type,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc Min 1 (Standardized),Conc 1 Max (Standardized),Effect,Effect Measurement,Chemical DTXSID,log_LC50
50000,Formaldehyde,Measured,Not coded,Flow-through,Fresh water,Active ingredient,24.5,22.9,26.2,Mortality,Mortality,DTXSID7020637,1.3891660843645324
50000,Formaldehyde,Measured,Not coded,Static,Fresh water,Active ingredient,26.3,23.2,29.7,Mortality,Mortality,DTXSID7020637,1.4199557484897578
50000,Formaldehyde,Measured,Not reported,Flow-through,Fresh water,Active ingredient,24.1,22.6,25.7,Mortality,Mortality,DTXSID7020637,1.3820170425748683
50066,"5-Ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione",Measured,Not coded,Flow-through,Fresh water,Active ingredient,484.0,446.0,526.0,Mortality,Mortality,DTXSID5021122,2.6848453616444123
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Measured,Not coded,Flow-through,Fresh water,Active ingredient,0.0085,,,Mortality,Mortality,DTXSID4020375,-2.070581074285707
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.034,,,Mortality,Mortality,DTXSID4020375,-1.4685210829577449
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.032,,,Mortality,Mortality,DTXSID4020375,-1.494850021680094
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Measured,Not coded,Flow-through,Fresh water,Active ingredient,0.0155,,,Mortality,Mortality,DTXSID4020375,-1.8096683018297088
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Unmeasured,Not coded,"Aquatic, unspecified",Fresh water,Formulation,0.019,,,Mortality,Mortality,DTXSID4020375,-1.7212463990471711
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.019,0.013,0.027,Mortality,Mortality,DTXSID4020375,-1.7212463990471711
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not coded,Static,Fresh water,Active ingredient,0.0132,0.0101,0.0173,Mortality,Mortality,DTXSID4020375,-1.8794260687941504
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.0199,,,Mortality,Mortality,DTXSID4020375,-1.7011469235902934
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.026,,,Mortality,Mortality,DTXSID4020375,-1.585026652029182
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.026,,,Mortality,Mortality,DTXSID4020375,-1.585026652029182
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not coded,Static,Fresh water,Active ingredient,0.0124,0.01,0.0154,Mortality,Mortality,DTXSID4020375,-1.9065783148377649
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.058,,,Mortality,Mortality,DTXSID4020375,-1.2365720064370629
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not coded,Flow-through,Fresh water,Active ingredient,0.0099,0.0065,0.015,Mortality,Mortality,DTXSID4020375,-2.00436480540245
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Measured,Not coded,Flow-through,Fresh water,Active ingredient,0.0176,,,Mortality,Mortality,DTXSID4020375,-1.75448733218585
50317,"2,3,6-Trichlorobenzoic acid",Not reported,Not coded,Static,Fresh water,Active ingredient,8.5,6.8,10.5,Mortality,Mortality,DTXSID6040296,0.9294189257142929
51036,"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole",Unmeasured,Not reported,"Aquatic, unspecified",Fresh water,Active ingredient,12.9,,,Mortality,Mortality,DTXSID1021166,1.110589710299249
51036,"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole",Not coded,United States Environmental Protection Agency,Static,Fresh water,Active ingredient,6.2,5.47,7.02,Mortality,Mortality,DTXSID1021166,0.7923916894982539
51285,"2,4-Dinitrophenol",Measured,Not reported,Flow-through,Fresh water,Active ingredient,10.6,9.57,11.8,Mortality,Mortality,DTXSID0020523,1.0253058652647702
51285,"2,4-Dinitrophenol",Measured,Not reported,Flow-through,Fresh water,Active ingredient,10.6,9.53,11.9,Mortality,Mortality,DTXSID0020523,1.0253058652647702
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,11.1,,,Mortality,Mortality,DTXSID0020523,1.0453229787866574
51285,"2,4-Dinitrophenol",Measured,Not reported,Flow-through,Fresh water,Active ingredient,19.4,18.5,20.4,Mortality,Mortality,DTXSID0020523,1.287801729930226
51285,"2,4-Dinitrophenol",Measured,Not reported,Flow-through,Fresh water,Active ingredient,6.58,5.86,7.39,Mortality,Mortality,DTXSID0020523,0.8182258936139555
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,6.58,5.86,7.39,Mortality,Mortality,DTXSID0020523,0.8182258936139555
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,8.15,7.66,8.68,Mortality,Mortality,DTXSID0020523,0.9111576087399766
51285,"2,4-Dinitrophenol",Measured,Not reported,"Aquatic, unspecified",Fresh water,Active ingredient,16.7,,,Mortality,Mortality,DTXSID0020523,1.2227164711475833
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,11.9,10.3,13.8,Mortality,Mortality,DTXSID0020523,1.0755469613925308
51285,"2,4-Dinitrophenol",Measured,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,16.5,14.5,18.7,Mortality,Mortality,DTXSID0020523,1.2174839442139065
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,8.39,7.88,8.93,Mortality,Mortality,DTXSID0020523,0.9237619608287004
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,11.0,9.68,12.6,Mortality,Mortality,DTXSID0020523,1.0413926851582251
51285,"2,4-Dinitrophenol",Measured,Not reported,Flow-through,Fresh water,Active ingredient,10.5,9.32,11.7,Mortality,Mortality,DTXSID0020523,1.021189299069938
51285,"2,4-Dinitrophenol",Measured,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,15.6,13.8,17.6,Mortality,Mortality,DTXSID0020523,1.1931245983544616
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,16.0,,,Mortality,Mortality,DTXSID0020523,1.2041199826559248
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,11.0,8.78,13.7,Mortality,Mortality,DTXSID0020523,1.0413926851582251
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,13.3,12.4,14.3,Mortality,Mortality,DTXSID0020523,1.1238516409670858
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,17.0,16.0,18.0,Mortality,Mortality,DTXSID0020523,1.230448921378274
51285,"2,4-Dinitrophenol",Measured,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,14.9,12.9,17.0,Mortality,Mortality,DTXSID0020523,1.173186268412274
51285,"2,4-Dinitrophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,17.0,16.0,17.0,Mortality,Mortality,DTXSID0020523,1.230448921378274
51796,"Carbamic acid, Ethyl ester",Measured,Not coded,Flow-through,Fresh water,Active ingredient,5240.0,4960.0,5540.0,Mortality,Mortality,DTXSID9021427,3.7193312869837274
52686,"P-(2,2,2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,180.0,,,Mortality,Mortality,DTXSID0021389,2.255272505103306
52686,"P-(2,2,2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester",Unmeasured,Not coded,"Aquatic, unspecified",Fresh water,Formulation,109.0,,,Mortality,Mortality,DTXSID0021389,2.037426497940624
52686,"P-(2,2,2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,110.0,,,Mortality,Mortality,DTXSID0021389,2.041392685158225
52686,"P-(2,2,2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,100.0,,,Mortality,Mortality,DTXSID0021389,2.0
52686,"P-(2,2,2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,51.0,,,Mortality,Mortality,DTXSID0021389,1.7075701760979365
52686,"P-(2,2,2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,100.0,,,Mortality,Mortality,DTXSID0021389,2.0
52686,"P-(2,2,2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester",Not reported,Not coded,Static,Fresh water,Active ingredient,7.9,6.74,9.26,Mortality,Mortality,DTXSID0021389,0.8976270912904415
54217,"2-Hydroxybenzoic acid, Sodium salt (1:1)",Measured,Not reported,Flow-through,Fresh water,Active ingredient,2160.0,1600.0,2930.0,Mortality,Mortality,DTXSID5021708,3.3344537511509307
54217,"2-Hydroxybenzoic acid, Sodium salt (1:1)",Measured,Not reported,Flow-through,Fresh water,Active ingredient,1370.0,1270.0,1470.0,Mortality,Mortality,DTXSID5021708,3.1367205671564067
55185,N-Ethyl-N-nitrosoethanamine,Measured,Not coded,Static,Fresh water,Active ingredient,775.0,698.0,860.0,Mortality,Mortality,DTXSID2021028,2.88930170250631
55210,Benzamide,Measured,Not reported,Flow-through,Fresh water,Active ingredient,661.0,590.0,740.0,Mortality,Mortality,DTXSID0021709,2.82020145948564
55389,"O,O-Dimethyl O-[3-methyl-4-(methylthio)phenyl]ester phosphorothioic acid",Not reported,Not coded,Static,Fresh water,Active ingredient,1.68,1.37,2.06,Mortality,Mortality,DTXSID8020620,0.2253092817258628
55389,"O,O-Dimethyl O-[3-methyl-4-(methylthio)phenyl]ester phosphorothioic acid",Not reported,Not coded,Static,Fresh water,Active ingredient,2.44,1.83,3.27,Mortality,Mortality,DTXSID8020620,0.3873898263387294
55389,"O,O-Dimethyl O-[3-methyl-4-(methylthio)phenyl]ester phosphorothioic acid",Unmeasured,Not coded,Static,Fresh water,Active ingredient,3.3,2.8,3.9,Mortality,Mortality,DTXSID8020620,0.5185139398778874
55389,"O,O-Dimethyl O-[3-methyl-4-(methylthio)phenyl]ester phosphorothioic acid",Unmeasured,Not coded,Static,Fresh water,Active ingredient,3.2,2.7,3.8,Mortality,Mortality,DTXSID8020620,0.505149978319906
55389,"O,O-Dimethyl O-[3-methyl-4-(methylthio)phenyl]ester phosphorothioic acid",Not reported,Not coded,Static,Fresh water,Active ingredient,2.87,2.234,3.69,Mortality,Mortality,DTXSID8020620,0.4578818967339923
55389,"O,O-Dimethyl O-[3-methyl-4-(methylthio)phenyl]ester phosphorothioic acid",Unmeasured,Not coded,Static,Fresh water,Active ingredient,3.5,3.0,4.1,Mortality,Mortality,DTXSID8020620,0.5440680443502757
55550,4-Methylaminophenol sulfate,Unmeasured,Standard Methods for the Examination of Water and Wastewater,Static,Fresh water,Formulation,0.25,,,Mortality,Mortality,DTXSID6025565,-0.6020599913279624
55630,"1,2,3-Propanetriol, 1,2,3-Trinitrate",Unmeasured,Not coded,Static,Fresh water,Active ingredient,18.0,,,Mortality,Mortality,DTXSID1021407,1.255272505103306
55630,"1,2,3-Propanetriol, 1,2,3-Trinitrate",Unmeasured,Not coded,Static,Fresh water,Active ingredient,5.5,4.6,6.6,Mortality,Mortality,DTXSID1021407,0.7403626894942439
55630,"1,2,3-Propanetriol, 1,2,3-Trinitrate",Measured,Not reported,Flow-through,Fresh water,Active ingredient,3.58,2.91,4.41,Mortality,Mortality,DTXSID1021407,0.5538830266438743
55630,"1,2,3-Propanetriol, 1,2,3-Trinitrate",Unmeasured,Not coded,Static,Fresh water,Active ingredient,3.4,2.8,4.2,Mortality,Mortality,DTXSID1021407,0.5314789170422551
55630,"1,2,3-Propanetriol, 1,2,3-Trinitrate",Unmeasured,Not coded,Static,Fresh water,Active ingredient,2.1,1.7,2.6,Mortality,Mortality,DTXSID1021407,0.3222192947339193
55630,"1,2,3-Propanetriol, 1,2,3-Trinitrate",Unmeasured,Not coded,Flow-through,Fresh water,Active ingredient,3.0,2.2,3.7,Mortality,Mortality,DTXSID1021407,0.4771212547196624
55630,"1,2,3-Propanetriol, 1,2,3-Trinitrate",Unmeasured,Not coded,Static,Fresh water,Active ingredient,2.5,2.0,3.0,Mortality,Mortality,DTXSID1021407,0.3979400086720376
55630,"1,2,3-Propanetriol, 1,2,3-Trinitrate",Unmeasured,Not coded,Static,Fresh water,Active ingredient,2.1,1.6,2.6,Mortality,Mortality,DTXSID1021407,0.3222192947339193
55867,2-Chloro-N-(2-chloroethyl)-N-methylethanamine hydrochloride,Unmeasured,Not coded,Renewal,Fresh water,Active ingredient,98.27,95.6,101.02,Mortality,Mortality,DTXSID8025757,1.992420956052024
55867,2-Chloro-N-(2-chloroethyl)-N-methylethanamine hydrochloride,Unmeasured,Not coded,Renewal,Fresh water,Active ingredient,99.45,95.58,103.49,Mortality,Mortality,DTXSID8025757,1.9976047874604543
56235,Tetrachloromethane,Measured,Not reported,Flow-through,Fresh water,Active ingredient,43.1,,,Mortality,Mortality,DTXSID8020250,1.6344772701607315
56235,Tetrachloromethane,Measured,Not coded,Flow-through,Fresh water,Active ingredient,41.4,36.3,47.3,Mortality,Mortality,DTXSID8020250,1.6170003411208989
56235,Tetrachloromethane,Measured,Not reported,Flow-through,Fresh water,Active ingredient,43.3,,,Mortality,Mortality,DTXSID8020250,1.6364878963533651
56235,Tetrachloromethane,Measured,Not coded,Static,Fresh water,Active ingredient,10.4,9.68,11.3,Mortality,Mortality,DTXSID8020250,1.0170333392987805
56235,Tetrachloromethane,Measured,Not coded,Flow-through,Fresh water,Active ingredient,41.4,36.3,47.3,Mortality,Mortality,DTXSID8020250,1.6170003411208989
56235,Tetrachloromethane,Measured,Not reported,Flow-through,Fresh water,Active ingredient,42.9,,,Mortality,Mortality,DTXSID8020250,1.6324572921847242
56359,"1,1,1,3,3,3-Hexabutyldistannoxane",Measured,Not coded,Flow-through,Fresh water,Total,0.0026,0.0023,0.0029,Mortality,Mortality,DTXSID9020166,-2.5850266520291822
56359,"1,1,1,3,3,3-Hexabutyldistannoxane",Measured,Not coded,Flow-through,Fresh water,Active ingredient,0.0027,0.0024,0.003,Mortality,Mortality,DTXSID9020166,-2.5686362358410126
56371,"N-Benzyl-N,N-diethylethanaminium chloride",Measured,Not coded,Flow-through,Fresh water,Active ingredient,161.0,141.0,185.0,Mortality,Mortality,DTXSID9021710,2.206825876031849
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Not coded,United States Environmental Protection Agency,Static,Fresh water,Active ingredient,1.4,,,Mortality,Mortality,DTXSID7021100,0.146128035678238
